ID_REF,GSM1900227,GSM1900236,GSM1900265,GSM1900268,GSM1900271,GSM1900277,GSM1900280,GSM1900302,GSM1900313,GSM1900314,GSM1900321,GSM1900294,GSM1900315,GSM1900316,GSM1900317,GSM1900318,GSM1900319,GSM1900320,GSM1900323,GSM1900324
7892596,4.605639794,4.850026269,4.146929086,4.239338346,4.476225689,4.013090738,4.560905021,4.29759501,3.968239197,4.182746531,3.95817124,4.419080515,4.33825829,4.350899401,4.489092987,4.667147175,4.852093406,4.515652321,4.623961619,4.494783088
7892597,5.068059884,5.107286209,5.780062819,5.606019051,6.057004606,6.051659852,5.971291119,5.96613646,5.924941229,6.3361983,6.156936364,5.636459895,5.440899195,5.151370265,5.520270014,5.4488585,6.09919481,5.983353929,6.364522633,5.715415233
7892598,10.24409623,9.959323678,10.10334688,10.68137901,10.51262727,10.0665069,10.44111823,10.4173808,10.36588547,10.33279626,9.494615381,10.82429395,9.994693013,10.20740061,9.152723194,9.817939027,10.24159714,8.772823482,9.732756617,10.28990884
7892599,9.986578494,9.778635339,9.618167477,9.627043208,10.28210019,9.85778561,9.599992952,10.244365,10.11815882,10.23825443,10.06981145,10.60034556,9.940859212,10.05640503,10.17816014,9.914302641,10.09883287,10.16200094,9.407325213,10.23797067
7892600,3.858830079,3.330444804,2.869675825,3.317081334,3.355437805,3.192882889,4.029723813,2.93632037,2.775753432,3.23810395,2.784670087,3.417352291,2.943788952,3.17245742,2.935073484,2.994004109,2.996646399,2.813213222,3.502577629,3.275281386
7892602,3.623391803,3.989495502,3.192066111,3.931158966,4.849691622,4.202669393,4.558726305,3.80402297,3.555407813,4.26909942,4.256344761,3.836347727,3.631693302,4.197775217,3.803357032,3.906711723,4.023210187,3.967320645,3.653333186,3.681327
7892603,4.205928047,3.608196155,5.129760008,4.689511134,4.358652676,4.814387666,3.539675451,4.61571516,3.07982671,4.397604657,3.981911797,4.254593705,3.309820207,3.58848087,3.108593368,2.978899386,3.124135672,3.276298801,3.490895546,4.405949967
7892604,3.795947292,3.024011813,4.138382588,4.001805891,3.178042329,3.599901722,3.464176657,3.85944114,3.52750075,3.809705827,3.605265186,3.672390702,3.820709046,4.03912572,3.968156475,2.730083555,3.565503763,4.546273232,2.733043466,4.139972363
7892605,8.720169302,8.427898992,8.965801896,9.43738152,9.25375272,8.217960803,8.847032105,9.51117186,8.350606206,8.816908355,7.887443293,9.619808694,7.984737091,8.272038264,8.284006915,9.091565647,8.606267504,8.386835154,7.969944784,9.142152565
7892606,12.18525263,12.43639372,12.39271073,12.06096815,11.96901783,12.43344791,12.57298339,12.1872577,12.30337817,12.29403173,12.47505752,11.82631213,12.06591898,12.31453166,12.29113669,12.04690834,12.50390894,12.75269945,12.04064223,12.33655682
